,Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
383,351–400,Northumbria UniversityUnited Kingdom,21983,17.2,18%,55 : 45
384,351–400,NOVA University of LisbonPortugal,19976,18.3,19%,51 : 49
385,351–400,"University of Occupational and Environmental Health, JapanJapanExplore",1159,2.5,1%,52 : 48
386,351–400,Örebro UniversitySweden,9434,16.9,6%,60 : 40
387,351–400,Osaka UniversityJapan,22867,7.4,12%,32 : 68
388,351–400,Politecnico di MilanoItalyExplore,36828,25.4,18%,34 : 66
389,351–400,University of StuttgartGermany,24554,44.0,20%,33 : 67
390,351–400,Swedish University of Agricultural SciencesSweden,3720,4.4,4%,69 : 31
391,351–400,Swinburne University of TechnologyAustralia,15604,25.1,28%,35 : 65
392,351–400,University of TasmaniaAustralia,18328,22.8,33%,60 : 40
393,351–400,University of TurkuFinland,12813,15.8,6%,63 : 37
394,351–400,UiT The Arctic University of NorwayNorway,14276,10.4,11%,58 : 42
395,351–400,Umeå UniversitySweden,17055,12.4,11%,60 : 40
396,351–400,Université de Versailles Saint-Quentin-en-YvelinesFrance,16699,21.2,16%,60 : 40
397,351–400,Victoria UniversityAustralia,15838,44.1,28%,52 : 48
398,351–400,University of VictoriaCanada,21317,25.2,21%,55 : 45
399,351–400,Wayne State UniversityUnited States,22359,11.6,7%,57 : 43
400,401–500,Aberystwyth UniversityUnited Kingdom,6809,17.2,22%,51 : 49
401,401–500,University of Alaska FairbanksUnited States,3342,8.2,5%,52 : 48
402,401–500,American UniversityUnited States,12460,13.5,13%,63 : 37
403,401–500,Aston UniversityUnited Kingdom,11549,19.7,25%,48 : 52
404,401–500,Aswan UniversityEgypt,25114,40.9,2%,57 : 43
405,401–500,Bangor UniversityUnited Kingdom,9663,17.0,25%,59 : 41
406,401–500,University of Bari Aldo MoroItaly,29396,21.1,1%,61 : 39
407,401–500,Bauman Moscow State Technical UniversityRussian Federation,19501,5.6,8%,29 : 71
408,401–500,University of BordeauxFranceExplore,54812,22.4,13%,59 : 41
409,401–500,Bournemouth UniversityUnited Kingdom,13713,17.0,18%,55 : 45
410,401–500,University of BremenGermany,18843,32.3,13%,51 : 49
411,401–500,University of BresciaItaly,14479,25.1,7%,45 : 55
412,401–500,University of CampinasBrazil,29082,15.6,3%,47 : 53
413,401–500,Cankaya UniversityTurkey,7492,25.2,1%,45 : 55
414,401–500,University of CanterburyNew ZealandExplore,14069,18.6,24%,50 : 50
415,401–500,Centrale NantesFrance,1776,16.5,48%,25 : 75
416,401–500,CEU UniversitiesSpain,17654,11.5,19%,63 : 37
417,401–500,Charles University in PragueCzech Republic,47406,12.8,22%,62 : 38
418,401–500,"China Medical University, TaiwanTaiwan",7633,16.9,9%,55 : 45
419,401–500,Clark UniversityUnited States,3045,11.5,23%,60 : 40
420,401–500,Colorado School of MinesUnited States,5898,17.2,11%,30 : 70
421,401–500,"Colorado State University, Fort CollinsUnited States",26178,16.1,6%,53 : 47
422,401–500,University of ConnecticutUnited States,27996,13.2,11%,52 : 48
423,401–500,University of DenverUnited States,9397,12.6,8%,57 : 43
424,401–500,University of DesarrolloChileExplore,15213,18.6,3%,56 : 44
425,401–500,Diego Portales UniversityChile,17234,14.7,2%,49 : 51
426,401–500,Durban University of TechnologySouth Africa,23432,33.3,1%,52 : 48
427,401–500,University of Eastern FinlandFinland,11742,18.8,6%,64 : 36
428,401–500,Edith Cowan UniversityAustraliaExplore,17756,28.8,27%,60 : 40
429,401–500,Federal University of Toulouse Midi-PyrénéesFrance,104479,16.5,14%,54 : 46
430,401–500,University of FlorenceItaly,36497,21.0,10%,59 : 41
431,401–500,Florida International UniversityUnited StatesExplore,33974,23.7,8%,58 : 42
432,401–500,Free University of Bozen-BolzanoItaly,3891,11.9,12%,67 : 33
433,401–500,University of GenoaItaly,23405,19.3,9%,56 : 44
434,401–500,University of GeorgiaUnited States,36169,16.6,7%,57 : 43
435,401–500,Georgia State UniversityUnited States,30633,15.3,6%,58 : 42
436,401–500,"Goldsmiths, University of LondonUnited Kingdom",9015,15.7,36%,66 : 34
437,401–500,Harbin Institute of TechnologyChina,31873,10.6,12%,30 : 70
438,401–500,Hunan UniversityChina,41210,20.2,2%,47 : 53
439,401–500,University of IbadanNigeria,38170,25.7,1%,47 : 53
440,401–500,University of IcelandIceland,8309,14.1,12%,66 : 34
441,401–500,Indian Institute of Technology IndoreIndia,1309,9.2,0%,17 : 83
442,401–500,Iowa State UniversityUnited States,31814,18.1,12%,44 : 56
443,401–500,Jordan University of Science and TechnologyJordan,21087,11.9,16%,57 : 43
444,401–500,Justus Liebig University GiessenGermany,28039,44.5,10%,62 : 38
445,401–500,University of JyväskyläFinland,10262,14.6,4%,61 : 39
446,401–500,University of KentuckyUnited States,26839,13.3,4%,56 : 44
447,401–500,King Saud UniversitySaudi Arabia,38189,10.1,10%,52 : 48
448,401–500,Koç UniversityTurkey,5440,16.0,6%,50 : 50
449,401–500,Kyushu UniversityJapan,18714,9.3,13%,28 : 72
450,401–500,Linköping UniversitySweden,18628,11.2,11%,54 : 46
451,401–500,Institut AgroFrance,2120,10.9,16%,62 : 38
452,401–500,Liverpool John Moores UniversityUnited Kingdom,20201,16.9,15%,53 : 47
453,401–500,Makerere UniversityUganda,30486,20.8,3%,52 : 48
454,401–500,Mansoura UniversityEgypt,140144,23.8,3%,58 : 42
455,401–500,Maynooth UniversityIreland,10107,28.6,12%,56 : 44
456,401–500,Middlesex UniversityUnited Kingdom,15749,17.9,45%,60 : 40
457,401–500,Missouri University of Science and TechnologyUnited States,7862,21.6,12%,24 : 76
458,401–500,Mizzou - University of MissouriUnited States,26446,12.5,5%,53 : 47
459,401–500,University of Modena and Reggio EmiliaItaly,18741,26.8,6%,53 : 47
460,401–500,University of Naples Federico IIItaly,50375,19.7,2%,55 : 45
461,401–500,National and Kapodistrian University of AthensGreece,59348,28.3,10%,62 : 38
462,401–500,National Research Nuclear University MEPhIRussian Federation,5797,10.5,26%,34 : 66
463,401–500,National Yang-Ming UniversityTaiwan,4254,4.8,2%,49 : 51
464,401–500,University of Nebraska-LincolnUnited States,24677,16.6,12%,48 : 52
465,401–500,University of NeuchâtelSwitzerland,4138,12.7,25%,58 : 42
466,401–500,Norwegian University of Science and TechnologyNorway,36050,15.5,8%,48 : 52
467,401–500,Oklahoma State UniversityUnited States,22047,15.4,7%,50 : 50
468,401–500,Oregon State UniversityUnited States,25824,16.6,11%,47 : 53
469,401–500,University of PaviaItaly,25589,44.0,8%,56 : 44
470,401–500,University of PeradeniyaSri Lanka,17301,11.5,1%,61 : 39
471,401–500,University of the PhilippinesPhilippines,41419,8.7,1%,54 : 46
472,401–500,University of PisaItaly,32974,21.1,6%,51 : 49
473,401–500,University of PlymouthUnited Kingdom,17481,17.6,15%,55 : 45
474,401–500,Polytechnic University of BariItaly,6729,28.9,2%,32 : 68
475,401–500,Pontifical Javeriana UniversityColombia,29281,15.3,1%,55 : 45
476,401–500,University of PortoPortugal,32586,17.6,18%,55 : 45
477,401–500,University of Rome II – Tor VergataItaly,25893,13.8,13%,53 : 47
478,401–500,Royal Veterinary CollegeUnited Kingdom,2191,10.9,23%,79 : 21
479,401–500,University of St GallenSwitzerland,7759,12.0,33%,35 : 65
480,401–500,Saint-Petersburg Mining UniversityRussian Federation,7705,11.4,11%,40 : 60
481,401–500,University of SalernoItaly,25123,27.5,2%,55 : 45
482,401–500,University of SannioItaly,2998,15.8,2%,51 : 49
483,401–500,University of SaskatchewanCanada,17973,18.4,21%,55 : 45
484,401–500,Semmelweis UniversityHungaryExplore,10945,9.4,32%,69 : 31
485,401–500,Sharif University of TechnologyIran,8742,20.1,2%,25 : 75
486,401–500,Shenzhen UniversityChinaExplore,35396,14.5,1%,49 : 51
487,401–500,University of SienaItaly,13232,17.6,9%,61 : 39
488,401–500,University of South Carolina-ColumbiaUnited States,32445,16.4,6%,54 : 46
489,401–500,South China University of TechnologyChina,40581,13.4,5%,38 : 62
490,401–500,SRUC (Scotland’s Rural College)United Kingdom,1442,9.4,11%,54 : 46
491,401–500,University of StrathclydeUnited Kingdom,18787,18.5,27%,50 : 50
492,401–500,Technion Israel Institute of TechnologyIsrael,14740,21.8,8%,37 : 63
493,401–500,Tianjin UniversityChinaExplore,37405,14.5,7%,
494,401–500,Tokyo Medical and Dental University (TMDU)Japan,3011,3.4,9%,50 : 50
495,401–500,Tongji UniversityChinaExplore,33740,12.0,14%,45 : 55
496,401–500,University of TsukubaJapan,16633,13.4,20%,39 : 61
497,401–500,TU Dortmund UniversityGermany,34681,109.1,10%,45 : 55
498,401–500,The University of TulsaUnited States,4209,11.2,14%,46 : 54
499,401–500,University of TurinItaly,55957,28.5,8%,61 : 39
500,401–500,TU WienAustria,10433,19.3,30%,29 : 71
501,401–500,University of ValenciaSpain,49822,14.4,12%,59 : 41
502,401–500,Verona UniversityItaly,20140,27.2,5%,65 : 35
503,401–500,University of the West of EnglandUnited Kingdom,22045,15.5,21%,54 : 46
504,401–500,Xi’an Jiaotong UniversityChina,36551,12.5,7%,36 : 64
505,401–500,York UniversityCanadaExplore,49353,37.7,25%,57 : 43
506,501–600,Abdul Wali Khan University MardanPakistan,9664,22.7,1%,29 : 71
507,501–600,Amirkabir University of TechnologyIran,11672,22.1,2%,36 : 64
508,501–600,University of L’AquilaItaly,17322,39.5,4%,57 : 43
509,501–600,Universidad Autónoma de ChileChile,24541,23.2,1%,65 : 35
510,501–600,Bar-Ilan UniversityIsrael,16587,17.5,5%,61 : 39
511,501–600,Beihang UniversityChina,30172,13.2,7%,
512,501–600,Beijing University of Chemical TechnologyChina,25739,24.7,4%,38 : 62
513,501–600,Beijing Institute of TechnologyChina,31964,13.6,8%,35 : 65
514,501–600,Bond UniversityAustralia,3498,10.2,47%,53 : 47
515,501–600,Carleton UniversityCanada,28350,30.2,21%,49 : 51
516,501–600,University of CataniaItaly,26838,21.9,3%,56 : 44
517,501–600,CentraleSupélecFrance,4007,9.8,27%,21 : 79
518,501–600,Charles Darwin UniversityAustralia,6219,23.7,30%,67 : 33
519,501–600,Claude Bernard University Lyon 1France,27490,13.0,13%,53 : 47
520,501–600,Complutense University of MadridSpain,61732,20.1,12%,61 : 39
521,501–600,University of Costa RicaCosta Rica,34776,15.0,2%,53 : 47
522,501–600,University of Côte d’AzurFrance,32277,19.9,21%,55 : 45
523,501–600,University of CyprusCyprusExplore,6815,22.2,11%,64 : 36
