,Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
1112,1001+,Khon Kaen UniversityThailand,36280,18.5,2%,56 : 44
1113,1001+,KIIT UniversityIndiaExplore,19633,14.0,2%,37 : 63
1114,1001+,King Mongkut’s Institute of Technology LadkrabangThailand,22938,22.4,0%,53 : 47
1115,1001+,King Mongkut's University of Technology North BangkokThailand,25542,24.1,0%,40 : 60
1116,1001+,Kitasato UniversityJapan,8539,5.3,0%,53 : 47
1117,1001+,Kogakuin UniversityJapan,6531,17.0,1%,15 : 85
1118,1001+,Kookmin UniversitySouth Korea,17299,11.1,9%,45 : 55
1119,1001+,Kwansei Gakuin UniversityJapan,23965,21.1,3%,48 : 52
1120,1001+,Kyoto Institute of TechnologyJapan,4060,13.2,5%,27 : 73
1121,1001+,University of LahorePakistan,24674,14.3,2%,35 : 65
1122,1001+,University of LeónSpain,12303,14.6,5%,56 : 44
1123,1001+,L.N. Gumilyov Eurasian National UniversityKazakhstan,16155,4.9,3%,
1124,1001+,Lobachevsky State University of Nizhni NovgorodRussian Federation,18205,8.0,7%,53 : 47
1125,1001+,University of ŁódźPoland,33758,15.2,4%,65 : 35
1126,1001+,Lodz University of TechnologyPoland,17115,13.1,3%,41 : 59
1127,1001+,London South Bank UniversityUnited Kingdom,11965,17.1,34%,56 : 44
1128,1001+,Londrina State UniversityBrazil,23392,13.7,1%,57 : 43
1129,1001+,Lviv Polytechnic National UniversityUkraine,22520,11.0,1%,39 : 61
1130,1001+,Maharaja Sayajirao University of BarodaIndia,34111,27.3,0%,58 : 42
1131,1001+,Mahasarakham UniversityThailand,43552,34.4,0%,63 : 37
1132,1001+,Universiti Malaysia Sarawak (UNIMAS)MalaysiaExplore,15426,19.2,5%,65 : 35
1133,1001+,Manipal Academy of Higher EducationIndia,25145,9.7,8%,43 : 57
1134,1001+,Marmara UniversityTurkey,72603,35.7,4%,52 : 48
1135,1001+,Meiji UniversityJapan,32270,29.8,4%,32 : 68
1136,1001+,Meijo UniversityJapan,15422,32.6,2%,27 : 73
1137,1001+,Menoufia UniversityEgypt,82327,38.7,1%,44 : 56
1138,1001+,Universidad Michoacana de San Nicolás de HidalgoMexico,39392,29.0,1%,51 : 49
1139,1001+,Ming Chuan UniversityTaiwan,18800,22.7,11%,60 : 40
1140,1001+,Minia UniversityEgypt,58870,15.9,1%,61 : 39
1141,1001+,MIREA - Russian Technological UniversityRussian Federation,16441,14.9,3%,31 : 69
1142,1001+,University of MiyazakiJapan,5507,8.3,2%,35 : 65
1143,1001+,University of MonastirTunisia,21267,11.3,1%,68 : 32
1144,1001+,Moscow Aviation InstituteRussian Federation,15263,10.5,9%,28 : 72
1145,1001+,Moscow Power Engineering InstituteRussian Federation,11252,15.4,9%,38 : 62
1146,1001+,Muroran Institute of TechnologyJapanExplore,3320,18.0,4%,9 : 91
1147,1001+,University of MysoreIndia,7944,20.3,8%,43 : 57
1148,1001+,Nagaoka University of TechnologyJapan,2388,10.3,12%,11 : 89
1149,1001+,Nagoya Institute of TechnologyJapan,5637,16.1,4%,14 : 86
1150,1001+,University of NairobiKenya,72466,40.4,1%,36 : 64
1151,1001+,Nara Medical UniversityJapan,1202,3.6,1%,48 : 52
1152,1001+,Naresuan UniversityThailand,23232,15.8,1%,66 : 34
1153,1001+,National Changhua University of EducationTaiwan,8124,21.4,8%,53 : 47
1154,1001+,National Chiayi UniversityTaiwan,12537,26.0,4%,48 : 52
1155,1001+,National Chung Cheng UniversityTaiwanExplore,14278,19.9,4%,37 : 63
1156,1001+,National University of ColombiaColombia,51844,22.0,1%,38 : 62
1157,1001+,National University of CórdobaArgentina,64491,11.5,2%,63 : 37
1158,1001+,National University of KaohsiungTaiwan,5599,23.5,4%,41 : 59
1159,1001+,National University of La PlataArgentina,118688,23.9,5%,56 : 44
1160,1001+,National Research University of Electronic Technology (MIET)Russian Federation,4197,11.6,3%,31 : 69
1161,1001+,National Research Saratov State UniversityRussian Federation,8756,9.7,6%,60 : 40
1162,1001+,National University of the SouthArgentina,20325,6.9,1%,58 : 42
1163,1001+,Nicolaus Copernicus University in ToruńPoland,23670,12.0,2%,69 : 31
1164,1001+,University of Nigeria NsukkaNigeria,32429,14.2,1%,48 : 52
1165,1001+,North China Electric Power UniversityChina,30412,16.7,1%,35 : 65
1166,1001+,Ochanomizu UniversityJapan,2947,14.2,5%,100 : 0
1167,1001+,Oita UniversityJapan,5682,9.4,1%,37 : 63
1168,1001+,Ondokuz Mayis UniversityTurkey,33790,30.5,6%,52 : 48
1169,1001+,Osaka Prefecture UniversityJapan,7794,10.0,4%,36 : 64
1170,1001+,University of PardubiceCzech Republic,7807,14.5,6%,55 : 45
1171,1001+,Perm National Research Polytechnic UniversityRussian Federation,9509,9.0,5%,38 : 62
1172,1001+,Perm State UniversityRussian Federation,12452,14.2,1%,65 : 35
1173,1001+,Pirogov Russian National Research Medical UniversityRussian Federation,8608,5.7,7%,73 : 27
1174,1001+,PMAS Arid Agriculture University RawalpindiPakistan,10919,45.5,0%,39 : 61
1175,1001+,Pontifical Catholic University of ValparaísoChile,15165,23.1,1%,43 : 57
1176,1001+,Universidad Pontificia Bolivariana (UPB)Colombia,13748,11.3,1%,56 : 44
1177,1001+,Pontifícia Universidade Católica do ParanáBrazil,25198,25.8,1%,52 : 48
1178,1001+,Prince of Songkla UniversityThailand,41469,18.0,2%,69 : 31
1179,1001+,PSG College of TechnologyIndia,8283,15.3,0%,38 : 62
1180,1001+,Ritsumeikan UniversityJapan,32739,17.0,5%,36 : 64
1181,1001+,University of the RyukyusJapan,8184,10.9,2%,38 : 62
1182,1001+,Saga UniversityJapan,6994,9.9,2%,38 : 62
1183,1001+,Saitama Medical UniversityJapan,1889,1.5,0%,52 : 48
1184,1001+,"University of Santiago, Chile (USACH)Chile",24606,25.9,2%,40 : 60
1185,1001+,SASTRA UniversityIndia,12997,16.5,0%,50 : 50
1186,1001+,Sathyabama Institute of Science and TechnologyIndiaExplore,15886,19.5,1%,48 : 52
1187,1001+,University of Sciences and Technology Houari BoumedieneAlgeria,35418,19.0,1%,
1188,1001+,Sechenov UniversityRussian Federation,15320,8.5,13%,79 : 21
1189,1001+,Seoul National University of Science and Technology (SeoulTech)South Korea,12407,17.3,3%,34 : 66
1190,1001+,Shahid Bahonar University of KermanIran,14635,22.2,0%,56 : 44
1191,1001+,Shahrood University of TechnologyIran,8453,27.0,0%,46 : 54
1192,1001+,Shanghai Maritime UniversityChina,23281,18.0,3%,40 : 60
1193,1001+,Shibaura Institute of TechnologyJapan,7287,23.9,13%,19 : 81
1194,1001+,Shimane UniversityJapan,6125,7.9,2%,36 : 64
1195,1001+,Shizuoka UniversityJapan,9932,13.7,3%,29 : 71
1196,1001+,University of ShizuokaJapan,2937,11.4,4%,60 : 40
1197,1001+,Showa UniversityJapan,3650,2.0,0%,58 : 42
1198,1001+,Siberian Federal UniversityRussian Federation,26705,15.9,3%,50 : 50
1199,1001+,University of Silesia in KatowicePoland,25546,13.5,3%,67 : 33
1200,1001+,Simón Bolívar UniversityVenezuela,11040,14.9,0%,44 : 56
1201,1001+,Slovak University of Technology in BratislavaSlovakia,14579,13.0,2%,34 : 66
1202,1001+,Sofia UniversityBulgaria,23029,14.4,5%,65 : 35
1203,1001+,University of SonoraMexico,29921,20.9,1%,53 : 47
1204,1001+,Sophia UniversityJapanExplore,13281,24.5,9%,54 : 46
1205,1001+,University of South AfricaSouth Africa,163520,106.7,8%,67 : 33
1206,1001+,University of South ChinaChina,21927,3.6,1%,44 : 56
1207,1001+,Southern Federal UniversityRussian Federation,17627,8.3,8%,51 : 49
1208,1001+,University of Southern MississippiUnited States,13562,18.5,4%,64 : 36
1209,1001+,South Valley UniversityEgypt,46462,55.9,0%,62 : 38
1210,1001+,Southwest Jiaotong UniversityChinaExplore,36351,16.0,2%,25 : 75
1211,1001+,Srinakharinwirot UniversityThailand,23105,19.5,0%,66 : 34
1212,1001+,SRM Institute of Science and TechnologyIndia,47375,16.4,2%,21 : 79
1213,1001+,State University of Ponta GrossaBrazil,10378,10.8,0%,57 : 43
1214,1001+,St Petersburg Electrotechnical University (LETI)Russian Federation,8418,13.1,12%,30 : 70
1215,1001+,Tamil Nadu Agricultural UniversityIndia,5893,7.3,0%,62 : 38
1216,1001+,Tamkang UniversityTaiwan,27041,23.9,7%,48 : 52
1217,1001+,University of TarapacáChile,8857,25.0,2%,54 : 46
1218,1001+,Taras Shevchenko National University of KyivUkraine,22400,8.8,4%,57 : 43
1219,1001+,Technical University of KošiceSlovakia,9013,11.6,5%,29 : 71
1220,1001+,Technical University of LiberecCzech Republic,5706,11.0,11%,55 : 45
1221,1001+,Universidade Tecnológica Federal do Paraná (UTFPR)Brazil,33025,13.2,1%,36 : 64
1222,1001+,Universiti Teknologi MARAMalaysia,54418,16.4,0%,66 : 34
1223,1001+,Institut Teknologi Sepuluh NopemberIndonesia,16712,13.2,3%,40 : 60
1224,1001+,Thammasat UniversityThailandExplore,33023,12.2,1%,63 : 37
1225,1001+,TOBB University of Economics and TechnologyTurkey,5474,16.5,1%,46 : 54
1226,1001+,Tokai UniversityJapan,30070,12.9,2%,26 : 74
1227,1001+,Tokyo University of AgricultureJapan,12145,34.9,2%,41 : 59
1228,1001+,Tokyo City UniversityJapan,7760,15.9,1%,23 : 77
1229,1001+,Tokyo Denki UniversityJapan,9315,25.2,2%,11 : 89
1230,1001+,Tokyo University of Marine Science and TechnologyJapan,2686,11.0,7%,33 : 67
1231,1001+,Tomas Bata University in ZlínCzech Republic,8804,20.2,10%,59 : 41
1232,1001+,Tottori UniversityJapan,6094,8.2,2%,36 : 64
1233,1001+,University of ToyamaJapan,9289,12.0,3%,40 : 60
1234,1001+,Toyo UniversityJapan,30484,31.0,4%,41 : 59
1235,1001+,University of Tunis El ManarTunisia,34455,10.3,1%,67 : 33
1236,1001+,Unisinos UniversityBrazil,13475,21.1,1%,52 : 48
1237,1001+,Ural Federal UniversityRussian Federation,24406,10.9,9%,49 : 51
1238,1001+,Urmia UniversityIran,13569,27.8,0%,50 : 50
1239,1001+,Utsunomiya UniversityJapan,4989,13.8,5%,37 : 63
1240,1001+,University of ValparaísoChile,16535,17.9,3%,57 : 43
1241,1001+,University of VeracruzMexico,61886,13.6,0%,53 : 47
1242,1001+,"University of Veterinary and Animal Sciences, LahorePakistan",5255,28.9,1%,47 : 53
1243,1001+,V.N. Karazin Kharkiv National UniversityUkraine,16069,10.1,29%,55 : 45
1244,1001+,Volgograd State Technical UniversityRussian Federation,13061,12.5,7%,39 : 61
1245,1001+,Voronezh State UniversityRussian Federation,15490,11.4,10%,57 : 43
1246,1001+,VSB - Technical University of OstravaCzech RepublicExplore,14835,17.3,10%,36 : 64
1247,1001+,University of West BohemiaCzech Republic,11984,17.5,4%,52 : 48
1248,1001+,West University of TimişoaraRomania,14189,18.3,4%,64 : 36
1249,1001+,Wrocław University of Science and TechnologyPoland,34819,18.5,2%,33 : 67
1250,1001+,Yamaguchi UniversityJapan,10569,10.8,4%,36 : 64
1251,1001+,Yanshan UniversityChina,32183,16.3,1%,39 : 61
1252,1001+,Yarmouk UniversityJordan,35320,34.5,9%,61 : 39
1253,1001+,Yazd UniversityIran,13635,30.3,0%,57 : 43
1254,1001+,Yeditepe UniversityTurkey,19705,18.6,2%,55 : 45
1255,1001+,Yuan Ze UniversityTaiwan,8186,19.2,9%,42 : 58
1256,1001+,Zagazig UniversityEgypt,135036,20.6,2%,51 : 49
1257,1001+,University of ZanjanIran,10606,26.7,0%,55 : 45
